bp,m_chi_GeV,m_phi_MeV,alpha,halo_type,v0_km_s,sigma_maj_single,sigma_dir_single,R_single,sigma_maj_thermal,sigma_dir_thermal,R_thermal,washout_pct
BP1,54.556,12.975,0.002645,dwarf,30.0,0.6719696325247045,0.6681160137127811,1.0057678887091908,0.678011317611702,0.6489610996707192,1.0447641899579538,3.87726648330473
BP1,54.556,12.975,0.002645,LSB,70.0,0.7159792994620416,0.5192593907037388,1.378847089297111,0.7193202953416721,0.5109410583079871,1.4078341985741873,2.102271492037091
BP1,54.556,12.975,0.002645,MW-size,200.0,0.6328439945526314,0.3063362089720304,2.065847836520078,0.5902008330978237,0.30492313613016875,1.935572487506729,-6.306144465741374
BP1,54.556,12.975,0.002645,group,500.0,0.2889263487373569,0.14142048633792118,2.043030371476546,0.2991129568032108,0.1473953239653733,2.0293245996967966,-0.6708550186575942
BP1,54.556,12.975,0.002645,cluster,1200.0,0.09111493075722644,0.04548067826065361,2.003376691856684,0.10831041778133536,0.05371534921084719,2.0163774297768753,0.6489412586777319
BP9,48.329,8.657,0.00235,dwarf,30.0,1.8310974159445836,1.7425722623690578,1.0508014247025683,1.9441371283733662,1.709687325128883,1.1371302224673212,8.215519672443197
BP9,48.329,8.657,0.00235,LSB,70.0,2.268001993853212,1.3249962578130547,1.711704452355674,2.1321854533391162,1.3008392973724463,1.6390844415954366,-4.2425554633743285
BP9,48.329,8.657,0.00235,MW-size,200.0,1.5393703213747603,0.7338328796491275,2.0977123866551057,1.4865554134502248,0.7359793925254827,2.0198329308503755,-3.7125897859101844
BP9,48.329,8.657,0.00235,group,500.0,0.6495576669547385,0.32002797199125466,2.0296902889866417,0.6886029554219301,0.33818266838027916,2.036186415820727,0.32005507782808557
BP9,48.329,8.657,0.00235,cluster,1200.0,0.19257877157932388,0.09618603285961425,2.00214902157777,0.23581607400150245,0.11700141822821891,2.0154975689399577,0.6667109799683416
BP16,14.384,5.047,0.0007555,dwarf,30.0,4.266481157751713,4.266412308447277,1.0000161375177685,4.1273808684082995,4.121970767750713,1.0013125034024777,0.12963449649192552
BP16,14.384,5.047,0.0007555,LSB,70.0,3.622700613513881,3.5513746630834118,1.0200840398992266,3.5661110974915786,3.3985763703922736,1.0492955605055208,2.8636386281643973
BP16,14.384,5.047,0.0007555,MW-size,200.0,2.496540249290717,1.7641963034309767,1.4151147717719912,2.3704334108287477,1.7674769833085748,1.3411396206085167,-5.2275018704556135
BP16,14.384,5.047,0.0007555,group,500.0,0.9693682630260552,0.544497031245646,1.7803003641882698,1.0422166463038471,0.6384114245432237,1.6325156572026285,-8.30111086636911
BP16,14.384,5.047,0.0007555,cluster,1200.0,0.22333011159716973,0.11587089491018515,1.9274047358508735,0.30701079059902064,0.16977300698295453,1.8083604458383953,-6.176403315722102
MAP,98.19,9.66,0.003274,dwarf,30.0,1.7969870173084648,0.9924856018441396,1.8105925304805222,1.686142863517252,0.9710123046430517,1.7364793993389047,-4.0933081239404085
MAP,98.19,9.66,0.003274,LSB,70.0,1.539104024001561,0.7198036085239252,2.1382277134699907,1.4471209250322947,0.7134823084669857,2.028250606720203,-5.143376734712375
MAP,98.19,9.66,0.003274,MW-size,200.0,0.7864946216574035,0.4006091492609556,1.9632467783332708,0.8013113785314265,0.40391272260099487,1.9838725885418615,1.0505969211930344
MAP,98.19,9.66,0.003274,group,500.0,0.376399602909642,0.18901996955772937,1.9913218893767952,0.3917750595330239,0.19705954449283805,1.9881049686850494,-0.16154699593809055
MAP,98.19,9.66,0.003274,cluster,1200.0,0.13062530226728838,0.06526403256045736,2.001489904049119,0.14983748017782206,0.07504831606211979,1.9965468652727263,-0.24696795953817485
