m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000
20.6914,11.3379,1.048412e-03,0.120001,1.9133,0.515889,0.072382
29.7635,12.9753,1.473222e-03,0.120011,3.3794,0.510094,0.073307
16.2378,9.9071,8.414032e-04,0.120008,1.3791,0.561398,0.077726
23.3572,11.3379,1.172770e-03,0.120009,2.4160,0.600570,0.080268
33.5982,12.9753,1.653763e-03,0.120002,4.2822,0.560792,0.082334
12.7427,8.6569,6.796264e-04,0.119997,1.0004,0.585311,0.084046
18.3298,9.9071,9.385809e-04,0.120005,1.7365,0.677158,0.087141
26.3665,11.3379,1.313756e-03,0.120001,3.0552,0.681184,0.088176
37.9269,12.9753,1.857877e-03,0.120003,5.4306,0.603431,0.088973
88.5867,14.8492,4.262100e-03,0.119994,25.4266,0.529976,0.089571
100.0000,14.8492,4.805912e-03,0.119996,32.3648,0.589076,0.091150
10.0000,7.5645,5.538274e-04,0.120011,0.7321,0.589393,0.091508
78.4760,14.8492,3.780805e-03,0.119995,19.9810,0.500369,0.091820
14.3845,8.6569,7.555133e-04,0.119998,1.2554,0.730704,0.093862
42.8133,12.9753,2.088676e-03,0.120005,6.8918,0.636547,0.095947
20.6914,9.9071,1.048412e-03,0.120001,2.1896,0.794221,0.096486
29.7635,11.3379,1.473222e-03,0.120011,3.8674,0.754209,0.099219
