galaxy,category,g_bar_m_s2,g_obs_m_s2,g_sidm_m_s2,g_mcgaugh_m_s2
,dwarf,2.188057e-14,6.912940e-12,5.872008e-12,1.631356e-12
,dwarf,2.076764e-14,7.777058e-12,1.172102e-11,1.589050e-12
,dwarf,1.823381e-14,1.049903e-11,1.791474e-11,1.488344e-12
,dwarf,1.383068e-14,1.244329e-11,1.866502e-11,1.295214e-12
,dwarf,1.089815e-14,1.362605e-11,1.761680e-11,1.149039e-12
,dwarf,8.507167e-15,1.411536e-11,1.628276e-11,1.014636e-12
,dwarf,6.743539e-15,1.478721e-11,1.498249e-11,9.029451e-13
,dwarf,4.437705e-15,1.361795e-11,1.272801e-11,7.319639e-13
,dwarf,2.997801e-15,1.198315e-11,1.093335e-11,6.012802e-13
,dwarf,2.076764e-15,1.093649e-11,9.503719e-12,5.002501e-13
,dwarf,1.452222e-15,9.795389e-12,8.350470e-12,4.181791e-13
,dwarf,1.012990e-15,8.947667e-12,7.406788e-12,3.491595e-13
,dwarf,1.037301e-14,2.333117e-12,7.020707e-12,1.120883e-12
,dwarf,1.369562e-14,3.920933e-12,1.403436e-11,1.288841e-12
,dwarf,1.312834e-14,6.480881e-12,2.250730e-11,1.261726e-12
,dwarf,1.191276e-14,8.468352e-12,2.180651e-11,1.201596e-12
,dwarf,1.071743e-14,9.923850e-12,1.989181e-11,1.139427e-12
,dwarf,9.335712e-15,1.143227e-11,1.796759e-11,1.063110e-12
,dwarf,8.041246e-15,1.296716e-11,1.624179e-11,9.863446e-13
,dwarf,6.668365e-15,1.349875e-11,1.473575e-11,8.978795e-13
,dwarf,5.358715e-15,1.362605e-11,1.342888e-11,8.045837e-13
,dwarf,4.358106e-15,1.339742e-11,1.229303e-11,7.253498e-13
,dwarf,3.438978e-15,1.286131e-11,1.130164e-11,6.441207e-13
,dwarf,2.659558e-15,1.244624e-11,1.043181e-11,5.662618e-13
,dwarf,2.091891e-15,1.176280e-11,9.664765e-12,5.020725e-13
,dwarf,2.701305e-14,5.292720e-12,5.031090e-12,1.813975e-12
,dwarf,3.038969e-14,7.777058e-12,1.003854e-11,1.924885e-12
,dwarf,2.925514e-14,1.049903e-11,1.670951e-11,1.888330e-12
,dwarf,2.382551e-14,1.142795e-11,2.031551e-11,1.702817e-12
,dwarf,1.961148e-14,1.270253e-11,2.022349e-11,1.543899e-12
,dwarf,1.428991e-14,1.478721e-11,1.812180e-11,1.316657e-12
,dwarf,9.805739e-15,1.497894e-11,1.587585e-11,1.089663e-12
,dwarf,7.147654e-15,1.431627e-11,1.394524e-11,9.297094e-13
,dwarf,5.402611e-15,1.350184e-11,1.233664e-11,8.078834e-13
,dwarf,3.919517e-15,1.300343e-11,1.099690e-11,6.877765e-13
,dwarf,2.927540e-15,1.225292e-11,9.873520e-12,5.941747e-13
,spiral,8.166626e-11,5.832793e-11,8.553422e-11,1.453794e-10
,spiral,1.102078e-10,9.802333e-11,1.179437e-10,1.787731e-10
,spiral,1.001037e-10,1.036941e-10,1.155755e-10,1.671683e-10
,spiral,8.506903e-11,1.080147e-10,1.082768e-10,1.494700e-10
,spiral,6.938768e-11,9.802333e-11,1.003313e-10,1.302988e-10
,spiral,5.399973e-11,8.871679e-11,9.238511e-11,1.104944e-10
,spiral,3.241055e-11,7.233127e-11,7.174369e-11,7.996663e-11
,spiral,1.946750e-11,6.084828e-11,5.392008e-11,5.871862e-11
,spiral,1.183706e-11,5.210923e-11,4.139175e-11,4.391666e-11
,spiral,5.952352e-12,4.218359e-11,3.007300e-11,2.981262e-11
,spiral,3.137239e-12,3.473943e-11,2.509564e-11,2.101368e-11
,spiral,1.627596e-12,2.909268e-11,2.186955e-11,1.480498e-11
,spiral,4.989781e-11,5.249514e-11,5.202807e-11,1.049923e-10
,spiral,7.104590e-11,7.290992e-11,7.530643e-11,1.323678e-10
,spiral,8.420255e-11,8.641175e-11,9.059334e-11,1.484317e-10
,spiral,9.433804e-11,1.012638e-10,1.028591e-10,1.604479e-10
,spiral,9.745665e-11,1.090084e-10,1.081080e-10,1.640925e-10
,spiral,8.742511e-11,1.058544e-10,1.034021e-10,1.522824e-10
,spiral,7.492467e-11,9.857421e-11,9.622732e-11,1.371660e-10
,spiral,6.188887e-11,8.929358e-11,8.851718e-11,1.207949e-10
,spiral,5.157406e-11,8.175632e-11,8.338131e-11,1.072541e-10
,spiral,4.281410e-11,7.499306e-11,7.666657e-11,9.520330e-11
,spiral,6.877032e-11,6.561892e-11,7.598874e-11,1.295256e-10
,spiral,7.203263e-11,7.939080e-11,8.646946e-11,1.335938e-10
,spiral,6.172184e-11,8.931465e-11,9.059552e-11,1.205802e-10
,spiral,4.829162e-11,8.438648e-11,9.136658e-11,1.028066e-10
,spiral,3.621872e-11,7.602479e-11,8.177492e-11,8.568531e-11
,spiral,2.607938e-11,6.813027e-11,6.791799e-11,6.999136e-11
,spiral,1.547808e-11,5.533925e-11,5.021827e-11,5.129851e-11
,spiral,9.004078e-12,4.556870e-11,3.769876e-11,3.757812e-11
,spiral,4.402920e-12,3.597051e-11,2.786456e-11,2.525757e-11
,spiral,2.074540e-12,2.839145e-11,2.276887e-11,1.683798e-11
,spiral,9.921849e-13,2.334089e-11,1.926203e-11,1.141517e-11
,dwarf,4.051958e-15,2.333117e-12,2.098418e-11,6.993335e-13
,dwarf,3.970919e-15,2.624757e-12,1.700470e-11,6.922846e-13
,dwarf,3.903386e-15,3.110823e-12,1.340400e-11,6.863557e-13
,dwarf,3.656892e-15,3.645496e-12,1.083037e-11,6.642704e-13
,dwarf,3.241567e-15,4.199611e-12,8.960561e-12,6.253112e-13
,dwarf,2.552734e-15,4.279696e-12,6.483588e-12,5.547464e-13
,dwarf,1.985459e-15,4.147764e-12,4.951957e-12,4.891073e-13
,dwarf,1.473439e-15,3.982796e-12,3.930400e-12,4.212282e-13
,dwarf,1.125198e-15,3.770128e-12,3.210678e-12,3.680186e-13
,dwarf,8.752230e-16,3.633614e-12,2.681787e-12,3.245161e-13
