benchmark,system,v_km_s,sigma_point,pull_point,dchi2_point,sigma_avg,pull_avg,dchi2_avg,dchi2_change
BP1,Draco dSph,12,4.294740e-01,-0.341052,0.116316,4.485113e-01,-0.302977,0.091795,-0.024521
BP1,Fornax dSph,12,4.294740e-01,-0.617543,0.381360,4.485113e-01,-0.585814,0.343179,-0.038181
BP1,NGC 2976,60,4.983797e-01,-1.001080,1.002162,4.705798e-01,-1.019613,1.039612,0.037450
BP1,NGC 1560,55,5.039926e-01,-1.248004,1.557513,4.781646e-01,-1.260918,1.589914,0.032400
BP1,IC 2574,50,5.089189e-01,-0.825901,0.682112,4.855548e-01,-0.845371,0.714652,0.032540
BP1,NGC 720 (group),250,3.247643e-01,-0.438089,0.191922,2.815336e-01,-0.546166,0.298297,0.106375
BP1,NGC 1332 (group),280,3.065740e-01,0.009391,0.000088,2.610620e-01,-0.155752,0.024259,0.024170
BP1,Abell 611,1200,5.428559e-02,-0.571430,0.326532,4.651365e-02,-0.668579,0.446998,0.120466
BP1,Abell 2537,1100,6.289229e-02,-0.725898,0.526927,5.337053e-02,-0.805246,0.648420,0.121493
BP1,Diverse RC band,40,5.157366e-01,-0.993705,0.987450,4.985974e-01,-1.000561,1.001122,0.013672
BP1,Bullet Cluster,4700,4.113674e-03,0.000000,0.000000,3.963109e-03,0.000000,0.000000,0.000000
BP1,72 cluster mergers,1000,7.357420e-02,0.000000,0.000000,6.180247e-02,0.000000,0.000000,0.000000
BP1,TBTF dwarfs,30,5.153254e-01,-0.969349,0.939638,5.057458e-01,-0.988508,0.977149,0.037511
MAP,Draco dSph,12,1.220924e+00,0.443517,0.196707,1.300959e+00,0.500685,0.250686,0.053978
MAP,Fornax dSph,12,1.220924e+00,0.191329,0.036607,1.300959e+00,0.227709,0.051851,0.015244
MAP,NGC 2976,60,1.757752e+00,-0.161499,0.026082,1.513161e+00,-0.324559,0.105339,0.079257
MAP,NGC 1560,55,1.816554e+00,-0.591723,0.350136,1.567092e+00,-0.716454,0.513306,0.163170
MAP,IC 2574,50,1.862383e+00,0.103538,0.010720,1.620768e+00,0.034505,0.001191,-0.009529
MAP,NGC 720 (group),250,8.072918e-01,0.307292,0.094428,7.147763e-01,0.214776,0.046129,-0.048299
MAP,NGC 1332 (group),280,7.547461e-01,0.649637,0.422029,6.644170e-01,0.520596,0.271020,-0.151009
MAP,Abell 611,1200,2.160995e-01,0.580497,0.336977,1.812420e-01,0.406210,0.165006,-0.171971
MAP,Abell 2537,1100,2.383310e-01,0.353324,0.124838,2.003807e-01,0.201523,0.040611,-0.084226
MAP,Diverse RC band,40,1.877581e+00,-0.448968,0.201572,1.711197e+00,-0.515521,0.265762,0.064190
MAP,Bullet Cluster,4700,2.644741e-02,0.000000,0.000000,2.369558e-02,0.000000,0.000000,0.000000
MAP,72 cluster mergers,1000,2.642018e-01,0.000000,0.000000,2.228013e-01,0.000000,0.000000,0.000000
MAP,TBTF dwarfs,30,1.714391e+00,0.178598,0.031897,1.724922e+00,0.181231,0.032844,0.000947
MAP_relic,Draco dSph,12,1.095811e+00,0.354151,0.125423,1.141528e+00,0.386806,0.149619,0.024196
MAP_relic,Fornax dSph,12,1.095811e+00,0.134459,0.018079,1.141528e+00,0.155240,0.024099,0.006020
MAP_relic,NGC 2976,60,1.551167e+00,-0.299222,0.089534,1.339382e+00,-0.440412,0.193963,0.104429
MAP_relic,NGC 1560,55,1.592782e+00,-0.703609,0.495066,1.384281e+00,-0.807860,0.652637,0.157571
MAP_relic,IC 2574,50,1.621669e+00,0.034763,0.001208,1.427389e+00,-0.060509,0.003661,0.002453
MAP_relic,NGC 720 (group),250,6.745971e-01,0.174597,0.030484,5.965525e-01,0.096553,0.009322,-0.021162
MAP_relic,NGC 1332 (group),280,6.277012e-01,0.468145,0.219159,5.511819e-01,0.358831,0.128760,-0.090399
MAP_relic,Abell 611,1200,1.611925e-01,0.305963,0.093613,1.344946e-01,0.172473,0.029747,-0.063866
MAP_relic,Abell 2537,1100,1.796476e-01,0.118591,0.014064,1.500505e-01,0.000202,0.000000,-0.014064
MAP_relic,Diverse RC band,40,1.611835e+00,-0.555266,0.308320,1.493692e+00,-0.602523,0.363034,0.054714
MAP_relic,Bullet Cluster,4700,1.681378e-02,0.000000,0.000000,1.543271e-02,0.000000,0.000000,0.000000
MAP_relic,72 cluster mergers,1000,2.012947e-01,0.000000,0.000000,1.684569e-01,0.000000,0.000000,0.000000
MAP_relic,TBTF dwarfs,30,1.453057e+00,0.113264,0.012829,1.488803e+00,0.122201,0.014933,0.002104
