benchmark,system,v_km_s,sigma_theory,central,lo,hi,sigma_err,pull,delta_chi2,fraction_pct,one_sided,within_bound,ref
BP1,Draco dSph,12,7.445536e-01,0.6,0.1,2.0,1.400000e+00,0.103253,0.010661,0.25,0,0,KTY16
BP1,Fornax dSph,12,7.445536e-01,0.8,0.2,3.0,6.000000e-01,-0.092411,0.008540,0.20,0,0,KTY16
BP1,TBTF dwarfs,30,6.719696e-01,1.0,0.5,5.0,5.000000e-01,-0.656061,0.430416,10.23,0,0,Elbert+15
BP1,Diverse RC band,40,6.455687e-01,3.0,0.5,10.0,2.500000e+00,-0.941773,0.886935,21.07,0,0,KKPY17
BP1,IC 2574,50,6.531647e-01,1.5,0.3,5.0,1.200000e+00,-0.705696,0.498007,11.83,0,0,KTY16
BP1,NGC 1560,55,6.662561e-01,3.0,1.0,8.0,2.000000e+00,-1.166872,1.361590,32.35,0,0,KTY16
BP1,NGC 2976,60,6.823542e-01,2.0,0.5,5.0,1.500000e+00,-0.878431,0.771640,18.34,0,0,KTY16
BP1,NGC 720 (group),250,5.446158e-01,0.5,0.1,1.5,1.000000e+00,0.044616,0.001991,0.05,0,0,KTY16
BP1,NGC 1332 (group),280,4.988968e-01,0.3,0.05,1.0,7.000000e-01,0.284138,0.080735,1.92,0,0,KTY16
BP1,72 cluster mergers,1000,1.201312e-01,0.2,0.0,0.47,2.700000e-01,0.000000,0.000000,0.00,1,1,Harvey+15
BP1,Abell 2537,1100,1.042066e-01,0.15,0.03,0.4,1.200000e-01,-0.381611,0.145627,3.46,0,0,KTY16
BP1,Abell 611,1200,9.111493e-02,0.1,0.02,0.3,8.000000e-02,-0.111063,0.012335,0.29,0,0,KTY16
BP1,Bullet Cluster,4700,7.462092e-03,0.7,0.0,1.25,5.500000e-01,0.000000,0.000000,0.00,1,1,Randall+08
MAP,Draco dSph,12,1.258393e+00,0.6,0.1,2.0,1.400000e+00,0.470280,0.221164,18.15,0,0,KTY16
MAP,Fornax dSph,12,1.258393e+00,0.8,0.2,3.0,2.200000e+00,0.208360,0.043414,3.56,0,0,KTY16
MAP,TBTF dwarfs,30,1.796987e+00,1.0,0.5,5.0,4.000000e+00,0.199247,0.039699,3.26,0,0,Elbert+15
MAP,Diverse RC band,40,1.880311e+00,3.0,0.5,10.0,2.500000e+00,-0.447876,0.200593,16.47,0,0,KKPY17
MAP,IC 2574,50,1.807553e+00,1.5,0.3,5.0,3.500000e+00,0.087872,0.007722,0.63,0,0,KTY16
MAP,NGC 1560,55,1.745341e+00,3.0,1.0,8.0,2.000000e+00,-0.627330,0.393542,32.31,0,0,KTY16
MAP,NGC 2976,60,1.676923e+00,2.0,0.5,5.0,1.500000e+00,-0.215385,0.046391,3.81,0,0,KTY16
MAP,NGC 720 (group),250,6.756660e-01,0.5,0.1,1.5,1.000000e+00,0.175666,0.030859,2.53,0,0,KTY16
MAP,NGC 1332 (group),280,6.216262e-01,0.3,0.05,1.0,7.000000e-01,0.459466,0.211109,17.33,0,0,KTY16
MAP,72 cluster mergers,1000,1.689229e-01,0.2,0.0,0.47,2.700000e-01,0.000000,0.000000,0.00,1,1,Harvey+15
MAP,Abell 2537,1100,1.480623e-01,0.15,0.03,0.4,1.200000e-01,-0.016147,0.000261,0.02,0,0,KTY16
MAP,Abell 611,1200,1.306253e-01,0.1,0.02,0.3,2.000000e-01,0.153127,0.023448,1.92,0,0,KTY16
MAP,Bullet Cluster,4700,1.125060e-02,0.7,0.0,1.25,5.500000e-01,0.000000,0.000000,0.00,1,1,Randall+08
MAP_relic,Draco dSph,12,1.258393e+00,0.6,0.1,2.0,1.400000e+00,0.470280,0.221164,18.15,0,0,KTY16
MAP_relic,Fornax dSph,12,1.258393e+00,0.8,0.2,3.0,2.200000e+00,0.208360,0.043414,3.56,0,0,KTY16
MAP_relic,TBTF dwarfs,30,1.796987e+00,1.0,0.5,5.0,4.000000e+00,0.199247,0.039699,3.26,0,0,Elbert+15
MAP_relic,Diverse RC band,40,1.880311e+00,3.0,0.5,10.0,2.500000e+00,-0.447876,0.200593,16.47,0,0,KKPY17
MAP_relic,IC 2574,50,1.807553e+00,1.5,0.3,5.0,3.500000e+00,0.087872,0.007722,0.63,0,0,KTY16
MAP_relic,NGC 1560,55,1.745341e+00,3.0,1.0,8.0,2.000000e+00,-0.627330,0.393542,32.31,0,0,KTY16
MAP_relic,NGC 2976,60,1.676923e+00,2.0,0.5,5.0,1.500000e+00,-0.215385,0.046391,3.81,0,0,KTY16
MAP_relic,NGC 720 (group),250,6.756660e-01,0.5,0.1,1.5,1.000000e+00,0.175666,0.030859,2.53,0,0,KTY16
MAP_relic,NGC 1332 (group),280,6.216262e-01,0.3,0.05,1.0,7.000000e-01,0.459466,0.211109,17.33,0,0,KTY16
MAP_relic,72 cluster mergers,1000,1.689229e-01,0.2,0.0,0.47,2.700000e-01,0.000000,0.000000,0.00,1,1,Harvey+15
MAP_relic,Abell 2537,1100,1.480623e-01,0.15,0.03,0.4,1.200000e-01,-0.016147,0.000261,0.02,0,0,KTY16
MAP_relic,Abell 611,1200,1.306253e-01,0.1,0.02,0.3,2.000000e-01,0.153127,0.023448,1.92,0,0,KTY16
MAP_relic,Bullet Cluster,4700,1.125060e-02,0.7,0.0,1.25,5.500000e-01,0.000000,0.000000,0.00,1,1,Randall+08
